market return,SMB,HML,RMW,CMA,MOM,Excess return
-0.079724459,-0.041902906,-0.101055714,0.012116499,-0.182174056,0.272706694,-0.082877234
-0.132737892,0.102783398,-0.158208095,0.040031745,-0.150971065,0.343197536,-0.129737346
-0.093672505,-0.07531127,-0.095733274,-0.000242372,-0.045494223,0.280167599,-0.021800965
0.182194866,0.128309529,0.010884558,0.097610103,0.02338436,0.341232743,0.106178258
-0.018362082,-0.053415803,-0.06271666,0.015509555,-0.102456755,0.21954688,-0.044122852
0.060231368,0.058763668,-0.048089422,0.050403506,-0.040737647,0.283963337,0.051103591
0.063584312,0.044501059,0.023674959,0.003396023,-0.01039198,0.207081519,0.012320182
-0.077456048,-0.10959058,-0.135881911,0.033989343,-0.083219545,0.26630525,-0.05435067
0.017168874,-0.010134074,-0.144364732,0.000155071,-0.082931198,0.279223705,0.00061278
-0.099992047,-0.070816233,-0.093008893,0.027560477,0.063634384,0.380233068,0.028369616
0.109999817,0.110512648,0.031748856,0.008158447,0.053662339,0.398826658,0.071738901
0.062408275,0.057450031,-0.021758594,0.040340223,-0.004907484,0.271453353,0.025351585
0.18093296,0.13715287,0.144139536,0.01686774,0.12321511,0.384550326,0.11602659
0.08259542,-0.083568641,-0.277363551,0.069714071,-0.206757633,0.429542162,0.074377009
0.049037083,0.155597565,-0.185920263,0.001893436,-0.193236449,0.404900499,-0.171621578
0.067389413,-0.035102079,-0.16172452,-0.04518529,-0.242078237,0.357781985,-0.03080908
-0.013775673,-0.067723872,-0.117348199,0.07234317,-0.062300446,0.316115592,-0.055927474
-0.085462168,-0.074169639,-0.049637606,0.066570756,-0.081640763,0.347246659,0.021864424
-0.041645575,0.087587608,0.001573016,-0.099946913,-0.020573032,0.328241471,-0.038983023
0.007610226,-0.073211617,-0.039820745,0.032753205,7.19E-05,0.265220148,-0.051520155
0.074171623,0.071694578,0.034209781,-0.043529751,0.009085088,0.254356774,0.082636483
-0.0158439,-0.074660097,0.060052174,0.040552783,-0.012080746,0.427340102,0.041136516
-0.142461048,-0.07108846,0.039557376,-0.027141747,0.038188281,0.30319393,-0.191472768
0.087307758,0.024530099,-0.038282136,-0.061564713,-0.026401605,0.381987963,0.048029349
0.018597897,0.091700642,-0.127445208,0.011013183,-0.104219941,0.310913192,0.041707428
0.0276141,0.02328639,-0.047483607,0.001856757,-0.068567716,0.321360491,0.021537762
0.038809338,0.184721671,0.025392364,-0.004832267,-0.003259708,0.298777416,0.084433955
-0.084244237,-0.077816436,-0.153859334,0.067594876,-0.104151519,0.289693083,-0.084101836
-0.021275913,-0.140127189,-0.086407877,0.048295055,-0.068923242,0.309382921,-0.041033234
-0.031844585,0.002132491,-0.035932673,-0.054831541,-0.012005903,0.327129296,-0.090765736
-0.018853094,0.150028487,0.004135716,0.10372147,0.067201266,0.341208852,-0.038104472
-0.011849879,0.008334899,0.007649356,0.017938739,0.064960977,0.232606471,-0.034628521
0.005676607,-0.052805959,-0.082486739,-0.032569489,-0.022681779,0.275239384,-0.031410074
-0.048856794,-0.048454406,-0.164156014,-0.01564314,-0.178348646,0.35477225,-0.019201917
0.063030636,0.085490711,-0.049172254,0.019712524,-0.037170172,0.385740839,0.018282289
-0.259391735,-0.055314074,-0.250151214,0.024619441,-0.17884307,0.390059838,-0.328352776
0.22335236,0.044316875,0.02137838,-0.189151104,-0.104297382,0.440589756,0.306782151
-0.070867294,0.153844349,-0.199183373,-0.10953238,-0.124991465,0.519358821,0.180228498
0.175213255,0.045746563,0.024756518,-0.027293102,0.107803331,0.405197169,0.121809842
0.050750015,-0.023627187,0.065639597,2.04E-05,-0.035983553,0.441524336,-0.007719418
0.059414905,0.033002422,-0.010055248,-0.088197444,-0.073883957,0.282587084,0.094363584
0.125175164,0.029831901,-0.119665997,-0.075002033,-0.157053967,0.3808535,0.003881995
-0.001213685,-0.011519827,-0.120300301,-0.046182535,-0.112688435,0.277076634,-0.030580536
-0.062820823,-0.050087687,0.043674254,0.014937571,0.094522989,0.363044535,-0.014471029
-0.122453208,0.038925082,-0.07413318,-0.004973249,-0.06862386,0.337782866,-0.035973604
0.053332207,0.05207616,-0.118518108,-0.116432869,-0.107496888,0.472685646,0.012932429
0.005960163,0.066151668,0.145694926,0.115703455,0.211443258,0.305103549,-0.002092127
-0.03031224,0.031024784,-0.025080922,0.00179243,-0.005788678,0.279999619,-0.030518287
0.093737125,0.052020127,-0.022475287,-0.015134856,0.000454746,0.310214999,0.123063602
-0.002612156,0.155675798,0.08244017,0.079242333,0.120843566,0.335678055,0.060737116
0.130960795,0.009929374,-0.01460065,-0.008590191,0.015097612,0.278363898,0.09417643
-0.028362664,0.030745722,0.026619614,-0.045913265,0.026911539,0.366444594,0.133699831
0.101879958,0.047291858,-0.106632945,0.008875676,-0.049281953,0.450932724,0.016852488
0.053621221,0.037201997,-0.048294629,-0.010955546,-0.012294898,0.260898809,0.102235699
-0.137206179,0.024621382,-0.040249261,0.005254273,-0.015196784,0.301904698,-0.270049081
