Quarters,BAJAJ AUTO LTD.,CIPLA LTD.,COAL INDIA LTD.,DR. REDDY'S LABORATORIES LTD.,GRASIM INDUSTRIES LTD.,H C L TECHNOLOGIES LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,OIL & NATURAL GAS CORPN. LTD.,POWER GRID CORPN. OF INDIA LTD.,STATE BANK OF INDIA,TATA CONSULTANCY SERVICES LTD.,TATA MOTORS LTD.,WIPRO LTD.,market return,SMB,HML,RMW,CMA,MOM
2015Q2,0.242044203,-0.154688627,0.142319555,0.001796597,-0.068132433,-0.080331046,-0.062524909,-0.151026681,-0.042240332,-0.051305736,-0.033479828,-0.57473784,0.069702717,-0.081117503,-0.00785976,-0.060809333,-0.034570395,-0.019643192,-0.229391842,-0.149103828,-0.013775673,-0.067723872,-0.117348199,0.07234317,-0.062300446,0.316115592
2015Q3,-0.107708806,0.016269312,-0.239600639,0.152094002,0.004616906,0.050558424,-0.068405576,-0.384578324,-0.139526359,0.026026609,0.062638274,0.163137531,0.147315539,-0.118266847,-0.276491525,-0.065812339,-0.114717117,-0.002742498,-0.329505378,0.076275269,-0.085462168,-0.074169639,-0.049637606,0.066570756,-0.081640763,0.347246659
2015Q4,0.077802535,0.004233379,-0.010590301,-0.270468084,0.050064887,-0.146664867,0.107814259,0.17972809,-0.050595987,-0.020347171,0.010812395,-0.065973995,-0.030889981,0.164512374,0.03676003,0.049184558,-0.070858412,-0.075728172,0.293142953,-0.080783269,-0.041645575,0.087587608,0.001573016,-0.099946913,-0.020573032,0.328241471
2016Q1,-0.066527488,-0.228826278,-0.131511233,-0.040356623,0.007037867,-0.064692316,0.07664455,0.021013404,-0.111253987,-0.01537192,-0.018137969,0.085390266,-0.212690142,-0.135719067,-0.131119062,-0.031268265,-0.151295833,0.017500321,-0.028755953,-0.008975463,0.007610226,-0.073211617,-0.039820745,0.032753205,7.19E-05,0.265220148
2016Q2,0.101510117,-0.037919382,0.055570813,0.097629943,0.197170764,-0.119282079,0.062415008,0.380285799,-5.05E-05,0.105784734,0.132291253,-0.055519329,0.110181478,0.196507843,-0.006255002,0.156007169,0.109852952,-0.00351625,0.171389757,-0.027695838,0.074171623,0.071694578,0.034209781,-0.043529751,0.009085088,0.254356774
2016Q3,0.035470161,0.142082637,0.014010666,-0.096814844,0.020927615,0.079376582,0.058379855,0.227277449,0.032521029,-0.360571501,0.060179818,-0.130794039,0.292403861,-0.068804801,0.170844669,0.066762952,0.132607164,-0.063604344,0.148914428,-0.157291542,-0.0158439,-0.074660097,0.060052174,0.040552783,-0.012080746,0.427340102
2016Q4,-0.084124252,-0.034414591,-0.084209906,-0.030144896,-0.836638427,0.020047172,-0.123421152,0.000369942,-0.002527147,-0.013776703,-0.08864319,-0.039584163,-0.043820397,0.098155965,-0.269451817,0.024345908,-0.019198815,-0.041862726,-0.132529293,-0.024415264,-0.142461048,-0.07108846,0.039557376,-0.027141747,0.038188281,0.30319393
2017Q1,0.052035348,0.028673687,-0.038284119,-0.153651457,0.202095336,0.042741033,0.044796861,0.244197177,0.070626378,0.146157946,0.27256844,-0.002256314,0.117082214,-0.006196866,-0.046969382,0.061420241,0.158877752,0.014222053,-0.02681378,0.073158657,0.087307758,0.024530099,-0.038282136,-0.061564713,-0.026401605,0.381987963
2017Q2,-0.020574516,-0.078485251,-0.18088039,0.006443455,0.168584959,-0.04276005,0.133296764,-0.036515368,0.032545338,0.139160609,0.022255295,-0.10030803,0.184298756,-0.057964997,-0.165224847,0.051661497,-0.082809364,-0.044054209,-0.086977354,-0.514525561,0.018597897,0.091700642,-0.127445208,0.011013183,-0.104219941,0.310913192
2017Q3,0.098783308,0.03967777,0.093686973,-0.149543699,-0.102288122,0.012870069,0.00455873,0.244797873,-0.061917821,-0.217133488,0.122210743,-0.053323765,0.090163452,0.038258098,0.071559022,-0.013080578,-0.087573036,0.015937579,-0.087001447,0.069550887,0.0276141,0.02328639,-0.047483607,0.001856757,-0.068567716,0.321360491
2017Q4,0.056792698,0.022907489,-0.044478681,0.02138226,0.01273232,0.002635714,-0.012502963,0.121638048,0.119902059,0.003852518,-0.035106751,0.142650751,0.204205689,0.041720705,0.126543098,-0.065785179,0.20548844,0.093578511,0.060280287,0.106009005,0.038809338,0.184721671,0.025392364,-0.004832267,-0.003259708,0.298777416
2018Q1,-0.192246941,-0.119206521,0.061800066,-0.153794204,-0.114111339,0.072112464,-0.079617598,-0.231273764,-0.129126105,-0.045030769,0.074074765,0.070537232,-0.104850083,-0.056834011,-0.104730417,-0.051029057,-0.209201915,0.03918088,-0.258731052,-0.120921224,-0.084244237,-0.077816436,-0.153859334,0.067594876,-0.104151519,0.289693083
